xflr5 v6.32
C:/Users/silvi/OneDrive/Documenti/GitHub/progettoAerodinamico/OUTWASH/profili/naca5406.dat
Analysis1
Alpha =   0.0,  Re =   400000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 0.6257   -0.453    -0.443     1.205     1.201
 0.6104   -0.465    -0.454     1.210     1.206
 0.5949   -0.475    -0.464     1.215     1.210
 0.5794   -0.487    -0.475     1.219     1.214
 0.5638   -0.498    -0.486     1.224     1.219
 0.5481   -0.508    -0.496     1.228     1.223
 0.5323   -0.519    -0.507     1.233     1.228
 0.5165   -0.530    -0.519     1.237     1.232
 0.5007   -0.541    -0.530     1.241     1.237
 0.4849   -0.552    -0.542     1.246     1.242
 0.4691   -0.563    -0.553     1.250     1.246
 0.4534   -0.575    -0.566     1.255     1.251
 0.4376   -0.587    -0.579     1.260     1.257
 0.4220   -0.601    -0.593     1.265     1.262
 0.4064   -0.619    -0.608     1.272     1.268
 0.3908   -0.645    -0.626     1.283     1.275
 0.3752   -0.659    -0.639     1.288     1.280
 0.3598   -0.669    -0.649     1.292     1.284
 0.3445   -0.676    -0.656     1.295     1.287
 0.3293   -0.681    -0.660     1.296     1.289
 0.3144   -0.683    -0.663     1.297     1.289
 0.2996   -0.683    -0.663     1.297     1.290
 0.2850   -0.681    -0.661     1.297     1.289
 0.2706   -0.678    -0.658     1.295     1.288
 0.2565   -0.672    -0.653     1.293     1.286
 0.2426   -0.665    -0.646     1.291     1.283
 0.2290   -0.657    -0.638     1.287     1.280
 0.2157   -0.647    -0.627     1.283     1.276
 0.2026   -0.636    -0.616     1.279     1.271
 0.1899   -0.623    -0.603     1.274     1.266
 0.1775   -0.609    -0.589     1.268     1.260
 0.1654   -0.594    -0.573     1.262     1.254
 0.1537   -0.576    -0.556     1.256     1.247
 0.1423   -0.559    -0.538     1.249     1.240
 0.1313   -0.539    -0.518     1.241     1.232
 0.1207   -0.519    -0.497     1.232     1.224
 0.1104   -0.498    -0.475     1.224     1.215
 0.1006   -0.474    -0.452     1.214     1.205
 0.0912   -0.451    -0.427     1.204     1.195
 0.0822   -0.425    -0.401     1.194     1.184
 0.0736   -0.398    -0.374     1.183     1.172
 0.0655   -0.371    -0.345     1.171     1.160
 0.0578   -0.341    -0.315     1.158     1.147
 0.0506   -0.310    -0.282     1.144     1.132
 0.0438   -0.277    -0.248     1.130     1.117
 0.0375   -0.240    -0.210     1.114     1.100
 0.0317   -0.202    -0.170     1.096     1.082
 0.0264   -0.159    -0.126     1.077     1.061
 0.0215   -0.112    -0.076     1.055     1.037
 0.0171   -0.058    -0.019     1.029     1.010
 0.0132    0.004     0.046     0.998     0.977
 0.0098    0.078     0.123     0.960     0.936
 0.0069    0.170     0.220     0.911     0.883
 0.0045    0.286     0.337     0.845     0.814
 0.0026    0.437     0.493     0.750     0.712
 0.0012    0.630     0.679     0.609     0.566
 0.0003    0.851     0.889     0.386     0.333
-0.0001    0.998     1.000     0.045    -0.011
 0.0000    0.851     0.809    -0.386    -0.437
 0.0006    0.420     0.350    -0.761    -0.806
 0.0017    0.042    -0.028    -0.979    -1.014
 0.0032   -0.160    -0.228    -1.077    -1.108
 0.0053   -0.243    -0.302    -1.115    -1.141
 0.0078   -0.265    -0.318    -1.125    -1.148
 0.0108   -0.259    -0.307    -1.122    -1.143
 0.0142   -0.241    -0.284    -1.114    -1.133
 0.0182   -0.216    -0.256    -1.103    -1.120
 0.0226   -0.191    -0.226    -1.091    -1.107
 0.0274   -0.164    -0.197    -1.079    -1.094
 0.0327   -0.138    -0.169    -1.067    -1.081
 0.0385   -0.113    -0.142    -1.055    -1.068
 0.0447   -0.089    -0.116    -1.044    -1.056
 0.0513   -0.066    -0.092    -1.033    -1.045
 0.0584   -0.045    -0.069    -1.022    -1.034
 0.0659   -0.024    -0.047    -1.012    -1.023
 0.0738   -0.004    -0.026    -1.002    -1.013
 0.0820    0.014    -0.007    -0.993    -1.003
 0.0907    0.033     0.012    -0.984    -0.994
 0.0998    0.050     0.029    -0.975    -0.985
 0.1092    0.066     0.046    -0.966    -0.977
 0.1191    0.081     0.061    -0.959    -0.969
 0.1292    0.096     0.076    -0.951    -0.961
 0.1397    0.110     0.090    -0.943    -0.954
 0.1506    0.123     0.104    -0.936    -0.947
 0.1618    0.136     0.116    -0.930    -0.940
 0.1733    0.148     0.128    -0.923    -0.934
 0.1851    0.159     0.139    -0.917    -0.928
 0.1972    0.170     0.150    -0.911    -0.922
 0.2096    0.180     0.160    -0.906    -0.917
 0.2222    0.189     0.169    -0.900    -0.912
 0.2352    0.198     0.178    -0.896    -0.907
 0.2483    0.206     0.186    -0.891    -0.902
 0.2617    0.213     0.194    -0.887    -0.898
 0.2754    0.220     0.201    -0.883    -0.894
 0.2892    0.226     0.207    -0.880    -0.891
 0.3033    0.231     0.213    -0.877    -0.887
 0.3175    0.236     0.218    -0.874    -0.884
 0.3319    0.240     0.222    -0.872    -0.882
 0.3465    0.242     0.225    -0.870    -0.880
 0.3612    0.244     0.228    -0.869    -0.879
 0.3761    0.244     0.229    -0.869    -0.878
 0.3911    0.243     0.229    -0.870    -0.878
 0.4063    0.235     0.227    -0.874    -0.879
 0.4216    0.232     0.224    -0.876    -0.881
 0.4370    0.230     0.223    -0.877    -0.882
 0.4525    0.229     0.221    -0.878    -0.883
 0.4681    0.229     0.220    -0.878    -0.883
 0.4837    0.229     0.219    -0.878    -0.884
 0.4993    0.229     0.219    -0.878    -0.884
 0.5149    0.229     0.218    -0.878    -0.884
 0.5305    0.229     0.218    -0.878    -0.885
 0.5460    0.229     0.217    -0.878    -0.885
 0.5616    0.229     0.217    -0.878    -0.885
 0.5770    0.229     0.216    -0.878    -0.885
 0.5925    0.228     0.216    -0.878    -0.885
 0.6078    0.228     0.215    -0.879    -0.886
 0.6230    0.228     0.215    -0.879    -0.886
 0.6381    0.227     0.214    -0.879    -0.887
 0.6531    0.227     0.213    -0.879    -0.887
 0.6679    0.226     0.212    -0.880    -0.888
 0.6826    0.225     0.211    -0.880    -0.888
 0.6971    0.224     0.210    -0.881    -0.889
 0.7114    0.223     0.209    -0.882    -0.890
 0.7255    0.221     0.207    -0.882    -0.890
 0.7394    0.220     0.205    -0.883    -0.891
 0.7530    0.218     0.204    -0.884    -0.892
 0.7664    0.217     0.202    -0.885    -0.893
 0.7796    0.215     0.200    -0.886    -0.894
 0.7925    0.213     0.198    -0.887    -0.896
 0.8051    0.211     0.196    -0.888    -0.897
 0.8174    0.209     0.193    -0.889    -0.898
 0.8293    0.207     0.191    -0.890    -0.900
 0.8410    0.206     0.188    -0.891    -0.901
 0.8523    0.203     0.186    -0.893    -0.902
 0.8633    0.201     0.183    -0.894    -0.904
 0.8740    0.199     0.181    -0.895    -0.905
 0.8842    0.197     0.178    -0.896    -0.907
 0.8941    0.195     0.175    -0.897    -0.908
 0.9036    0.193     0.172    -0.898    -0.910
 0.9127    0.191     0.170    -0.900    -0.911
 0.9214    0.189     0.167    -0.901    -0.913
 0.9297    0.187     0.164    -0.902    -0.914
 0.9375    0.186     0.161    -0.902    -0.916
 0.9449    0.184     0.159    -0.903    -0.917
 0.9519    0.183     0.156    -0.904    -0.919
 0.9584    0.182     0.154    -0.905    -0.920
 0.9645    0.182     0.151    -0.905    -0.921
 0.9701    0.181     0.149    -0.905    -0.922
 0.9753    0.182     0.147    -0.904    -0.923
 0.9799    0.183     0.146    -0.904    -0.924
 0.9841    0.185     0.144    -0.903    -0.925
 0.9878    0.188     0.143    -0.901    -0.926
 0.9910    0.193     0.142    -0.898    -0.926
 0.9938    0.199     0.141    -0.895    -0.927
 0.9960    0.209     0.141    -0.889    -0.927
 0.9978    0.222     0.141    -0.882    -0.927
 0.9990    0.247     0.142    -0.868    -0.926
 0.9998    0.279     0.143    -0.849    -0.926
 1.0000    0.362     0.145    -0.799    -0.925


